timeStamp,U,S,T,n,e,avg,expected,delta,elapsed
03/11/2025 11:30:45,100,20,40,100,-1,0.15507178025532675,0.15551227322305258,0.0004404929677258307,15.910070180892944
03/11/2025 11:31:42,100,20,40,100,-1,0.15890493652878743,0.15551227322305258,0.0033926633057348443,16.090468406677246
03/11/2025 11:33:37,100,20,40,159,-1,0.1521299299190591,0.15551227322305258,0.003382343303993479,25.632
03/11/2025 11:37:27,100,20,40,100,-1,0.1580660523556124,0.15551227322305258,0.0025537791325598302,16.057
03/11/2025 11:43:07,100,20,40,940,2e-05,0.15550018273823504,0.15551227322305258,1.2090484817539604e-05,150.314
03/11/2025 12:02:52,100,20,40,500,-1,0.15382249766285738,0.15551227322305258,0.0016897755601952003,80.019
03/11/2025 12:06:08,100,20,40,1000,-1,0.15719421563960867,0.15551227322305258,0.001681942416556087,157.928
03/11/2025 12:37:15,100,20,40,10000,-1,0.15577786380871786,0.15551227322305258,0.00026559058566527627,1825.685
03/11/2025 16:12:06,100,20,40,19,0.003,0.1545912684326143,0.15551227322305258,0.0009210047904382734,3.308
03/11/2025 16:15:22,100,20,40,1103,3e-05,0.15550249044659478,0.15551227322305258,9.78277645780068e-06,178.074
03/11/2025 16:26:45,100,20,40,4036,3e-06,0.15551646749741826,0.15551227322305258,4.1942743656819825e-06,649.812
03/11/2025 16:41:53,100,20,40,3980,2e-06,0.15550944430999802,0.15551227322305258,2.8289130545589014e-06,664.843
03/11/2025 17:50:02,100,20,40,5162,1e-06,0.15551135313115233,0.15551227322305258,9.20091900252773e-07,832.383
03/11/2025 22:15:22,200,80,90,1806,1e-05,0.2695067220248654,0.26950210920071044,4.612824154981432e-06,323.317
03/11/2025 22:20:06,200,80,90,100,-1,0.27209019673869794,0.26950210920071044,0.0025880875379875046,17.352
03/11/2025 22:22:08,200,80,90,500,-1,0.268935691853852,0.26950210920071044,0.0005664173468584166,86.713
03/11/2025 22:25:32,200,80,90,1000,-1,0.2702654204265782,0.26950210920071044,0.0007633112258677577,169.314
03/11/2025 22:39:00,200,80,90,3000,-1,0.269698196504829,0.26950210920071044,0.0001960873041185751,730.896
04/11/2025 07:44:56,50,10,20,100,-1,0.1549817495514647,0.1572349497856148,0.002253200234150099,16.694
04/11/2025 07:48:03,50,10,20,500,-1,0.15934403624028812,0.1572349497856148,0.002109086454673309,92.753
04/11/2025 07:54:23,50,10,20,1000,-1,0.15334676320680818,0.1572349497856148,0.0038881865788066294,201.059
04/11/2025 08:04:42,50,10,20,3000,-1,0.15706780709989107,0.1572349497856148,0.0001671426857237368,582.162
04/11/2025 08:48:10,50,10,20,2000,-1,0.1565475473343914,0.1572349497856148,0.0006874024512233956,321.856
04/11/2025 09:03:37,50,10,20,5000,-1,0.15773202961955585,0.1572349497856148,0.0004970798339410387,810.339
04/11/2025 14:35:58,50,10,15,100,-1,0.13985812687185684,0.14047754943122362,0.0006194225593667835,16.221
04/11/2025 14:37:55,50,10,15,500,-1,0.1408546475659815,0.14047754943122362,0.00037709813475789167,79.151
04/11/2025 14:42:38,50,10,15,1000,-1,0.14136293273290176,0.14047754943122362,0.0008853833016781443,159.784
04/11/2025 14:57:48,50,10,15,5000,-1,0.14027135399336907,0.14047754943122362,0.00020619543785455052,803.016
04/11/2025 15:34:23,50,10,15,10000,-1,0.1402256734508518,0.14047754943122362,0.000251875980371824,1634.205
06/11/2025 18:12:45,73,22,35,100,-1,0.22465724150393213,0.22929604559492736,0.0046388040909952355,16.155
06/11/2025 18:14:37,73,22,35,500,-1,0.23224762950726588,0.22929604559492736,0.002951583912338518,79.499
06/11/2025 18:17:37,73,22,35,1000,-1,0.22731340166267275,0.22929604559492736,0.001982643932254613,159.308
06/11/2025 21:59:27,73,22,35,5000,-1,0.2295102724041749,0.22929604559492736,0.0002142268092475419,1275.643
07/11/2025 06:38:21,100,20,40,200,-1,0.15454487844917172,0.15551227322305258,0.0009673947738808586,38.918
07/11/2025 06:40:32,100,20,40,350,-1,0.15696787797111206,0.15551227322305258,0.0014556047480594747,59.230
07/11/2025 06:42:40,500,150,230,350,-1,0.22152113303325305,0.22219540443881813,0.0006742714055650856,58.783
07/11/2025 06:44:02,500,150,230,278,2e-05,0.22220596567835624,0.22219540443881813,1.056123953810384e-05,54.117
07/11/2025 14:46:26,500,150,230,100,-1,0.21993899545059217,0.22219540443881813,0.002256408988225961,15.666
07/11/2025 14:48:03,500,150,230,500,-1,0.22232728758201706,0.22219540443881813,0.00013188314319892425,79.744
07/11/2025 14:51:18,500,150,230,1000,-1,0.22188560793101703,0.22219540443881813,0.0003097965078011078,159.576
07/11/2025 15:19:07,500,150,230,10000,-1,0.22210866360321133,0.22219540443881813,8.674083560680779e-05,1633.214
08/11/2025 09:35:14,80,24,44,100,-1,0.24239133036425048,0.2426217112571133,0.0002303808928628137,17.928
08/11/2025 09:37:01,80,24,44,500,-1,0.24321361352000123,0.2426217112571133,0.0005919022628879389,86.026
08/11/2025 09:40:21,80,24,44,1000,-1,0.24314760801938676,0.2426217112571133,0.0005258967622734645,179.847
08/11/2025 09:56:57,80,24,44,5000,-1,0.2423565298116981,0.2426217112571133,0.0002651814454151802,975.988
08/11/2025 20:02:23,1000,233,455,100,-1,0.18457732367189597,0.18231595287740648,0.0022613707944894867,19.169
08/11/2025 20:04:13,1000,233,455,500,-1,0.18211193591619876,0.18231595287740648,0.00020401696120772583,90.742
08/11/2025 20:10:36,1000,233,455,1000,-1,0.18218491499742018,0.18231595287740648,0.00013103787998630656,229.761
08/11/2025 20:47:43,100,20,40,100,-1,0.15431581222349502,0.15551227322305258,0.0011964609995575581,17.193
08/11/2025 21:01:39,627,122,455,220,-1,0.18107387391907429,0.18134286242658104,0.0002689885075067566,36.780
08/11/2025 21:05:38,627,122,455,220,-1,0.1803986765995787,0.18134286242658104,0.0009441858270023418,42.624
08/11/2025 21:45:02,100,20,40,100,-1,0.148768938403388,0.15551227322305258,0.006743334819664576,13.145
08/11/2025 21:54:08,100,20,40,2000,-1,0.15519229687561034,0.15551227322305258,0.00031997634744224124,392.488
08/11/2025 22:04:09,100,20,40,100,-1,0.1525367365258368,0.15551227322305258,0.002975536697215786,13.145
08/11/2025 22:13:03,100,20,40,3000,-1,0.1565409081947137,0.15551227322305258,0.0010286349716611132,447.159
12/11/2025 15:58:38,100,20,20,100,-1,0.11656963461143027,0.11336428141466905,0.0032053531967612264,15.814
12/11/2025 16:06:55,100,20,20,3000,-1,0.11219545572287008,0.11336428141466905,0.0011688256917989637,479.934
12/11/2025 16:22:52,100,40,40,3000,-1,0.25235039298302686,0.2517842697663563,0.0005661232166705443,482.925
12/11/2025 17:04:31,100,10,10,3000,-1,0.0546177166773142,0.05511880172560793,0.0005010850482937285,481.702
15/11/2025 00:44:58,100,21,21,2000,-1,0.12071056050562111,0.11955006280883647,0.0011604976967846403,342.237
15/11/2025 00:51:46,100,31,31,2000,-1,0.1858617560786653,0.18544031619650042,0.00042143988216489237,376.480
16/11/2025 13:11:32,100,20,20,100,-1,0.11017634653857564,0.11336428141466905,0.0031879348760934095,16.883
16/11/2025 13:13:19,100,20,20,500,-1,0.10885766709186263,0.11336428141466905,0.004506614322806413,83.841
16/11/2025 13:16:40,100,20,20,1000,-1,0.11246304040908554,0.11336428141466905,0.000901241005583503,174.225
16/11/2025 13:22:48,100,20,20,2000,-1,0.11437086914241613,0.11336428141466905,0.001006587727747088,341.006
16/11/2025 13:42:00,100,20,20,5000,-1,0.11242762689638251,0.11336428141466905,0.0009366545182865338,844.250
16/11/2025 13:46:03,100,30,30,100,-1,0.18803981406511244,0.1785022900543863,0.009537524010726134,16.682
16/11/2025 13:46:36,100,30,30,100,-1,0.18108370978338523,0.1785022900543863,0.0025814197289989183,17.017
16/11/2025 13:48:26,100,30,30,500,-1,0.18038402866706307,0.1785022900543863,0.0018817386126767643,88.249
16/11/2025 13:53:44,100,30,30,1000,-1,0.17940429007341643,0.1785022900543863,0.0009020000190301247,163.807
16/11/2025 14:10:18,100,30,30,5000,-1,0.17865630501767044,0.1785022900543863,0.000154014963284127,850.286
16/11/2025 14:13:17,100,35,35,100,-1,0.20650701106141364,0.21403325382173394,0.007526242760320295,19.694
16/11/2025 14:15:05,100,35,35,500,-1,0.21545016859142335,0.21403325382173394,0.0014169147696894147,83.299
16/11/2025 14:21:10,100,35,35,1000,-1,0.2135961136731002,0.21403325382173394,0.00043714014863374673,168.197
16/11/2025 14:38:39,100,35,35,5000,-1,0.21333024751257643,0.21403325382173394,0.0007030063091575112,907.208
16/11/2025 14:48:47,100,20,20,1434,3e-05,0.11336978536026678,0.11336428141466905,5.503945597729043e-06,243.818
17/11/2025 07:02:08,100,20,20,100,-1,0.11696612989182649,0.11336428141466905,0.0036018484771574433,17.214
17/11/2025 07:12:42,100,20,20,100,-1,0.11242573104802207,0.11336428141466905,0.000938550366646973,17.535
17/11/2025 07:13:20,100,20,20,100,-1,0.1109078450951516,0.11336428141466905,0.0024564363195174466,18.194
17/11/2025 07:16:46,100,40,40,100,-1,0.2610837825583305,0.2517842697663563,0.009299512791974163,17.216
17/11/2025 07:18:27,100,40,40,500,-1,0.2515235895067704,0.2517842697663563,0.00026068025958592145,83.455
17/11/2025 07:40:17,100,20,20,100,-1,0.10352406107898968,0.11336428141466905,0.00984022033567937,17.039
17/11/2025 07:40:46,100,20,20,100,-1,0.10446325499731073,0.11336428141466905,0.008901026417358321,17.001
17/11/2025 07:43:51,100,20,20,1000,-1,0.11573186894586575,0.11336428141466905,0.002367587531196702,168.040
17/11/2025 10:39:54,100,20,20,100,-1,0.11030671094987483,0.11336428141466905,0.0030575704647942126,15.666
17/11/2025 10:41:52,100,20,20,100,-1,0.11499066297827908,0.11336428141466905,0.0016263815636100298,16.028
17/11/2025 10:47:38,100,20,20,1868,0.0008,0.11415980763823749,0.11336428141466905,0.0007955262235684463,296.662
17/11/2025 11:08:40,100,20,20,100,-1,0.11683964690930634,0.11336428141466905,0.0034753654946372975,15.905
17/11/2025 11:09:36,100,20,20,100,-1,0.12118353636230396,0.11336428141466905,0.007819254947634913,15.954
17/11/2025 11:22:06,100,20,20,5,-1,0.13053221288515407,0.11336428141466905,0.017167931470485023,0.904
17/11/2025 11:22:22,100,20,20,5,-1,0.13159209629797866,0.11336428141466905,0.018227814883309615,0.930
17/11/2025 11:23:08,100,20,20,50,-1,0.1061427138207324,0.11336428141466905,0.007221567593936648,7.879
17/11/2025 11:26:20,100,20,20,60,-1,0.12268909188413832,0.11336428141466905,0.009324810469469272,10.475
17/11/2025 11:27:01,100,20,20,60,-1,0.09956599105205916,0.11336428141466905,0.013798290362609891,10.255
17/11/2025 11:28:31,100,20,20,60,-1,0.11771297402102356,0.11336428141466905,0.0043486926063545095,9.852
17/11/2025 11:28:58,100,20,20,100,-1,0.11234413746797647,0.11336428141466905,0.0010201439466925727,16.404
17/11/2025 11:29:45,100,20,20,3,-1,0.10378510378510378,0.11336428141466905,0.00957917762956527,0.706
17/11/2025 11:30:04,100,20,20,3,-1,0.11278195488721804,0.11336428141466905,0.0005823265274510075,0.693
17/11/2025 11:31:04,100,20,20,3,-1,0.07261107261107261,0.11336428141466905,0.04075320880359644,0.702
17/11/2025 11:32:00,100,20,20,3,-1,0.10167310167310167,0.11336428141466905,0.011691179741567373,0.718
17/11/2025 11:47:38,100,20,20,6,-1,0.1051011825005633,0.11336428141466905,0.008263098914105746,1.232
17/11/2025 11:52:59,100,20,20,100,-1,0.10577532969173836,0.11336428141466905,0.007588951722930684,16.046
17/11/2025 11:55:21,100,20,20,100,-1,0.11226794280199853,0.11336428141466905,0.0010963386126705138,16.015
17/11/2025 11:56:13,100,20,20,100,-1,0.11612988722895844,0.11336428141466905,0.0027656058142893902,15.772
17/11/2025 11:57:45,100,20,20,300,-1,0.11529029123080993,0.11336428141466905,0.0019260098161408834,46.098
17/11/2025 11:58:57,100,20,20,300,-1,0.10959772794138119,0.11336428141466905,0.003766553473287859,46.639
